"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"グループ",0.0138906268150086,0.0636437527817579,0.00772954636308296,0.0369878379064861,-0.0112496579777773,0.0123967032400417,-0.0911189654834089,-0.0215800220818702,-0.0205935444617755,0.0206838609987134,0.0664899860633455,-0.00147671336593672,0.023065839134754,-0.00544138480538609
"クロマツ",0.0103956497161975,0.0131437257828086,-0.00188718483553323,-0.00385745534150532,-0.0142912308735929,-0.0421382452137342,-0.0319038971678051,0.0111577799149806,0.0265055814965765,-0.024955241087152,0.025405315212222,0.00707282272396826,-0.0276358938357614,0.00380450652705448
"ゲノム",-0.00735482795074318,0.0130931541037072,0.0279524255050385,-0.0191615736631178,-0.00878303582170511,-0.00404071927750466,0.0186547143382777,0.0185922341104569,-0.0357047924851709,0.0476549402206504,0.00823304176986776,0.0648715962514765,-0.00615636994254986,-0.000579613467809262
"ヶ月",0.0203993361857596,-0.00530288740452206,0.0271443859326223,-0.0142901974314894,-0.00659506133740922,0.00938777008805785,-0.00326615542515955,-0.00730367300058058,-0.0211947310993173,0.00639952832378197,0.0207931283955075,0.0605130177886057,-0.0658578758684937,-0.00320356916488743
"コア",-0.0107848546082386,0.0179846697262893,-0.00945766609020043,0.010183807077457,-0.0252706801196306,0.028482944944656,0.0354068518591837,0.033086867212907,-0.00587955554490295,-0.0482360870046104,-0.0163833681645784,-0.0216825119574355,-0.0113016433879155,-0.00808603657751365
"コケ",-0.0127779181885918,-0.0316806244698154,-0.0213712717219978,0.00310110311868781,-0.0165852914698531,-0.0522454202662569,-0.0443293293728123,0.0179729733282215,0.00262109441365322,-0.0355597686379586,0.0178982759138517,0.0229711506450355,0.00264801215417345,-0.000991519511044912
"ここ",0.00596133155126309,-0.00157050397215999,0.0188824840801157,-0.00427937508699563,-0.0137020377554008,-0.0132546377655014,0.042716522798199,0.003645001806569,-0.0394893805840129,-0.0127368429194437,-0.000790571446953128,-0.0429460336198372,-0.0033530964943123,0.00124891002602831
"コドラート",-0.00788481535015303,0.0336360878488091,-0.0103963842400549,-0.0476399002836838,-0.0322798562394816,-0.0161381533280901,-0.00158507776581793,-0.0751070124844429,-0.0320487485681756,0.0815380360141583,0.0154311770947427,-0.0232395200677865,-0.0170830502077038,0.0114224997099536
"コナラ",-0.00663706602724997,0.0289603171182563,0.0132641554914696,0.0714841680994414,0.0166671817315342,-0.0469996501800969,0.0174452192970138,-0.0205132113366657,0.0458133204503017,-0.0348189838815093,0.0212573377640216,0.0365809490649002,-0.0140169127233421,-0.00327681407753635
"コロニー",0.0162143269323041,0.00337135901078539,-0.0164251800471186,-0.043986261842698,0.100102157070868,0.0456197006310052,-0.031883018706934,-0.00273765029810685,-0.0145984711427345,-0.0174586734279144,-0.0095849583477981,-0.00987231352409813,-0.0093555656729746,-0.00425767217329968
"サービス",0.0211356508621733,0.00650832681202568,0.00472697465587613,0.00219328090221451,-0.000478715059829353,-0.0636308284320978,0.0322071679573057,-0.0145660848068207,-0.031826993908321,0.00782471308594177,-0.0183228757129927,0.0225361759491113,-0.0732696194657998,0.0112974028256977
"サイト",0.0646580172109592,0.0361985618507973,-0.0231471257616914,0.000343351168947819,-0.0896941584290361,-0.00826863627706606,0.0759683917303329,-0.0455383886172403,-0.0460829913379384,-0.0113985498213382,0.0333930549370604,-0.0131235623381951,-0.0568610470787144,-0.0194627399733885
